Topic,Description,More Info,Resource
Creating an Emergency Fund (Module 12),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 12),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 12),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 12),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 12),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 12),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 12),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 13),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 13),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 13),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 13),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 13),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 13),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 13),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 13),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 13),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 13),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 14),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 14),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 14),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 14),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 14),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 14),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 14),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 14),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 14),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 14),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 15),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 15),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 15),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 15),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 15),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 15),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 15),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 15),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 15),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 15),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
